data_collected_at,group,person_name,linkedin_profile_url,headline,location,primary_company_name,primary_company_linkedin_url,primary_company_website,primary_company_employee_count,primary_company_employee_range,funding_stage,funding_stage_evidence_url,claude_code_usage_post_url,use_case_summary,async_webhook_fit,notes
"2026-01-21","startup_founder_seed_to_series_b","Christophe Pasquier","https://www.linkedin.com/in/christophepasquier","CEO Slite & Super (W18) | Most accurate search & workflows on team data","Berlin, Berlin, Germany","Slite","https://www.linkedin.com/company/slitehq/","https://slite.com/","39","11-50","Series A","https://www.crunchbase.com/organization/slite","https://www.linkedin.com/posts/christophepasquier_claude-code-radically-changes-my-job-as-a-activity-7394293165685522432-jJg2","CEO uses Claude Code to prototype quickly; packages and shares repeatable standards as Skills (e.g., brand guidelines, support responses, review standards) so teams get consistent output.","High","Founder profile mentions YC W18 and $15M+ raised; good target for ‘deploy once + share across team + trigger from Slack/CRM’."
"2026-01-21","startup_founder_seed_to_series_b","Samanyou Garg","https://www.linkedin.com/in/samanyougarg","Founder/CEO @ Writesonic | Helping brands win AI search (GEO) | Forbes30U30 | Microsoft Partner","San Francisco, California, United States of America","Writesonic","https://www.linkedin.com/company/writesonic/","https://writesonic.com/","125","51-200","Seed","https://www.crunchbase.com/organization/writesonic","https://www.linkedin.com/posts/samanyougarg_spent-the-holidays-building-with-claude-code-activity-7414255018222055424-e-Sk","Uses Claude Code to accelerate shipping (e.g., agentic content/video pipelines); natural webhook triggers: new content brief, new recording uploaded, traffic spike → run analysis + draft + schedule.","High","Alternate Claude Code post with full text: https://www.linkedin.com/feed/update/urn:li:activity:7419805572117590018"
"2026-01-21","startup_founder_seed_to_series_b","Mark Fershteyn","https://www.linkedin.com/in/markfer","CEO @ Recapped: Close 2x more deals. Helping leaders vibe code business solutions @ MasteringAI.","New York, New York, United States of America","Recapped","https://www.linkedin.com/company/getrecapped/","https://www.recapped.io/?utm_source=linkedincompany","17","11-50","Seed","https://techcrunch.com/2021/07/19/recapped-lands-6-million-for-collaborative-sales-software-that-gets-the-customer-in-the-mix/","https://www.linkedin.com/feed/update/urn:li:activity:7419755564437774337","Uses Claude Code + browser automation to build CEO-grade GA4 dashboards and get plain-English coaching on what to watch; perfect for scheduled daily/weekly ‘CEO metrics brief’ and alerting.","High","Strong non-dev pain: ‘I don’t know GA4’ → automate dashboards + explanations + weekly digest."
"2026-01-21","startup_founder_seed_to_series_b","Ryan Buckley","https://www.linkedin.com/in/rbuckley","Co-founder & CEO at Shovels","Walnut Creek, California, United States of America","Shovels","https://www.linkedin.com/company/shovels/","https://www.shovels.ai/","38","2-10","Seed","https://www.shovels.ai/blog/shovels-raises-5m-seed-round-to-scale-ai-powered-building-permit-platform/","https://www.linkedin.com/posts/rbuckley_sales-operations-is-a-huge-competitive-advantage-activity-7383183718343073792-Dy4h","Uses Claude Code to automate custom research and workflows tied to CRM/RevOps (e.g., HubSpot research/updates); obvious webhook triggers: new lead, stage change, meeting ended, inbound form submission.","High","Founder is building data-intelligence product; likely values ‘run in background + write-back to CRM + logs’."
"2026-01-21","startup_founder_seed_to_series_b","Dexter Horthy","https://www.linkedin.com/in/dexterihorthy","we are in an asymmetric war on slop","San Francisco, California, United States of America","HumanLayer","https://www.linkedin.com/company/humanlayer-dev/","https://humanlayer.dev/","5","2-10","Seed","https://tracxn.com/d/companies/humanlayer/__XZbhI_kKRufCd1LnFm62x7HgBSEk6EtN315vIthngyQ","https://www.linkedin.com/feed/update/urn:li:activity:7362280656451624960","Founder building/using agent workflows; async execution + triggers matter for long-running agent tasks and multi-system automation.","High","This may be closer to ‘adjacent/partner/competitor’ than a buyer; still useful as a reference persona + messaging test."
"2026-01-21","agency_owner_or_leader","Eric Siu","https://www.linkedin.com/in/ericosiu","Founder @ Growth Marketing Agency - Single Grain, Podcaster @ Marketing School + Leveling Up","Los Angeles, California, United States of America","Single Grain | Start Growing","https://www.linkedin.com/company/single-grain-llc/","http://www.singlegrain.com/?utm_source=linkedin&utm_medium=socials-bio&utm_campaign=homepage","68","51-200","N/A","N/A","https://www.linkedin.com/feed/update/urn:li:activity:7411783130069704704","Describes using Claude Code to build a contextual decision layer (e.g., historical decisions from Gong + HubSpot closed-won) and generate client insights; obvious triggers: new Gong call, new HubSpot deal, weekly Slack summary.","High","Excellent fit for webhook deployment: ‘scan calls weekly → produce top 3 opportunities/churn risks → post to Slack + email’."
"2026-01-21","agency_owner_or_leader","Drew Burdick","https://www.linkedin.com/in/drewhburdick","Helping leaders at mid-sized companies build great experiences with AI / Founder @ StealthX / Speaker / Podcast Host","Charlotte, North Carolina, United States of America","StealthX","https://www.linkedin.com/company/stealthxco/","https://stealthx.co/","5","2-10","N/A","N/A","https://www.linkedin.com/feed/update/urn:li:activity:7418667675519873024","Runs Claude Code for agency ops: transcript trend analysis + follow-ups, cashflow/P&L modeling, CEO dashboard (Slack/email/QB/Notion), contract redlining, proposal drafts, HubSpot updates, content idea extraction.","High","Direct pain match: needs persistence + scheduling + triggers from systems (Gong/Zoom/HubSpot/QuickBooks/Notion)."
"2026-01-21","agency_owner_or_leader","Tim Cakir","https://www.linkedin.com/in/timcakir","Making the AI transformation mountain climbable for ambitious SMBs | Strategic partner from base camp to market leadership | Guaranteed ROI","New York, New York, United States of America","AI Operator","https://www.linkedin.com/company/ai-operator/","https://aioperator.com/","7","2-10","N/A","N/A","https://www.linkedin.com/feed/update/urn:li:activity:7415744295900647424","Claims Claude Code runs client work + CEO work via many agents + MCP integrations (Notion, Gmail/Calendar, GitHub); needs reliable async runs and external triggers to operationalize for clients.","High","Great buyer for ‘deploy once → reuse across clients’ and ‘run without laptop open’ messaging."
"2026-01-21","agency_owner_or_leader","Joonhyeok Ahn","https://www.linkedin.com/in/joonhyeok-ahn","AI consultant for AI first company | I automate 80% of marketing & sales ops with AI systems | Founder, Threadsight","United States, United States of America","AI Topia","https://www.linkedin.com/company/ai-topia/","https://getaitopia.io/","2","2-10","N/A","N/A","https://www.linkedin.com/feed/update/urn:li:activity:7419780217835167745","Describes a 24/7 inbound conversion system: identify website visitors → generate personalized proposal → email in ~60 seconds; perfect for webhook triggers (web visit, form submit, pricing page view) and async execution.","High","Also posts about trend monitoring and Slack digests; strong ‘non-dev agent’ operator persona."
"2026-01-21","agency_owner_or_leader","Wil Reynolds","https://www.linkedin.com/in/wilreynolds","VP Innovation at Seer Interactive","Philadelphia, Pennsylvania, United States of America","Seer Interactive","https://www.linkedin.com/company/seer-interactive/","https://www.seerinteractive.com/","183","201-500","N/A","N/A","https://www.linkedin.com/feed/update/urn:li:activity:7397990080201629696","Describes hearing a client-data oversight and quickly building a Claude Code prototype, then scaling it across all clients to push analyses from Snowflake to Slack.","High","Ideal for ‘schedule + event triggers + team alerts’ and ‘share/deploy once across org’."
"2026-01-21","agency_owner_or_leader","Chris Kahler","https://www.linkedin.com/in/chris-kahler","Co-Founder/CTO @ C&C Strategic | RevOps @ Extendly | AI Automation & Business Operations Scaling for SMBs & Agencies","Texarkana, Texas, United States of America","C&C Strategic Consulting","","","","","N/A","N/A","https://www.linkedin.com/feed/update/urn:li:activity:7417593731958267905","Uses Claude Code as a business operating system (hooks inject calendar/deadlines/state; slash commands orchestrate client projects); strong need for persistence and cross-tool triggering.","High","Company page not available via LinkedIn tool from profile; treat as person-led services/ops role."
